 gccsa_code, gccsa_name,Lung cancer total mortality,Lung cancer population,Lung cancer rate per 100k, All cancer total mortality,All cancer population
1GSYD,Greater Sydney,7272,23089361,31.5,39171,23089361
1RNSW,Rest of NSW,6513,13043735,49.93,33277,13043735
2GMEL,Greater Melbourne,6377,20904141,30.51,35887,20904141
2RVIC,Rest of Vic,3138,6834239,45.92,17475,6834239
3GBRI,Greater Brisbane,3406,10753623,31.67,18039,10753623
3RQLD,Rest of Qld,4628,11676787,39.63,23432,11676787
4GADE,Greater Adelaide,2506,6324519,39.62,13311,6324519
4RSAU,Rest of SA,792,1877852,42.18,4630,1877852
5GPER,Greater Perth,3013,9231748,32.64,15428,9231748
5RWAU,Rest of WA,872,2609757,33.41,4255,2609757
6GHOB,Greater Hobart,428,1077944,39.71,2436,1077944
6RTAS,Rest of Tas,742,1471945,50.41,3724,1471945
7GDAR,Greater Darwin,165,651924,25.31,756,651924
7RNTE,Rest of NT,137,513595,26.67,517,513595
8ACTE,Australian Capital Territory,374,1841010,20.31,2477,1841010